"q29","What percentage of disability are you rated, as indicated by the Veteran's Affairs (VA)?","n =  266  avg =  61.48"
"response","count","percent_responded"
"100","76","28.57"
"0","44","16.54"
"80","21","7.89"
"90","21","7.89"
"60","20","7.52"
"70","19","7.14"
"10","10","3.76"
"50","10","3.76"
"30","9","3.38"
"40","7","2.63"
"20","6","2.26"
"99","3","1.13"
"1","2","0.75"
"51","2","0.75"
"92","2","0.75"
"93","2","0.75"
"14","1","0.38"
"22","1","0.38"
"43","1","0.38"
"5","1","0.38"
"53","1","0.38"
"6","1","0.38"
"64","1","0.38"
"67","1","0.38"
"75","1","0.38"
"81","1","0.38"
"87","1","0.38"
"97","1","0.38"
