"q30","What are some barriers for you consuming cannabis? Please select all that apply.","n =  913"
"response","count","percent_responded"
"Money","524","57.39"
"Access to the right products","256","28.04"
"Place to consume cannabis","229","25.08"
"Stigma","226","24.75"
"Workplace testing or other policies","194","21.25"
"No barriers","193","21.14"
"Time required to get medical card or obtain products","109","11.94"
"Lack of knowledge","83","9.09"
"Other (please specify)","37","4.05"
"Previous bad experience","19","2.08"
