"q46","What information would you like to know related to cannabis to help you make a decision about what cannabis products to use? Please select all that apply.","n =  269"
"response","count","percent_responded"
"Different effects of different cannabinoids","190","70.63"
"Medical value of cannabis","151","56.13"
"Cultivation and extraction","135","50.19"
"Cannabis genetics","109","40.52"
"Cannabis and pharmaceutical drug interactions","104","38.66"
"Side effects of cannabis","92","34.2"
"Other (please list below)","12","4.46"
"Other (please specify)","12","4.46"
