"q11","How do you prefer to use cannabis? Please select all that apply.","n =  825"
"response","count","percent_responded"
"Smoke flower","595","72.12"
"Vape cartridges","508","61.58"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","483","58.55"
"Tinctures","299","36.24"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","294","35.64"
"Vape flower","269","32.61"
"Salves/topicals","213","25.82"
"Capsules","125","15.15"
"Transdermal patches","50","6.06"
"Suppositories","29","3.52"
"Other (please specify)","18","2.18"
