"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  174  avg =  66.546"
"response","count","percent_responded"
"100","83","47.7"
"0","27","15.52"
"90","6","3.45"
"99","6","3.45"
"10","4","2.3"
"2","3","1.72"
"4","3","1.72"
"5","3","1.72"
"95","3","1.72"
"97","3","1.72"
"98","3","1.72"
"25","2","1.15"
"3","2","1.15"
"50","2","1.15"
"75","2","1.15"
"1","1","0.57"
"12","1","0.57"
"15","1","0.57"
"18","1","0.57"
"19","1","0.57"
"20","1","0.57"
"23","1","0.57"
"26","1","0.57"
"27","1","0.57"
"30","1","0.57"
"33","1","0.57"
"40","1","0.57"
"48","1","0.57"
"6","1","0.57"
"67","1","0.57"
"7","1","0.57"
"73","1","0.57"
"80","1","0.57"
"84","1","0.57"
"85","1","0.57"
"86","1","0.57"
"96","1","0.57"
