"q51","What type of cannabis advertising have you been exposed to in the past 30 days? Please check all that apply.","n =  558"
"response","count","percent_responded"
"Digitally on a cell phone, tablet, or computer (through email, text messages, websites, or social media)","227","40.68"
"Have not seen advertising","203","36.38"
"In magizines or newspapers","103","18.46"
"On billboards","68","12.19"
"On storefronts","66","11.83"
"In pamphlets or flyers","42","7.53"
"On television","34","6.09"
"On the radio","33","5.91"
"At an event, like a concert, fair, rodeo, parade, or similar","30","5.38"
"Other (please specify)","30","5.38"
"On street side marketing, like sandwich boards","24","4.3"
"Other (please specify below)","17","3.05"
"On signs being held by people on sidewalks (sign wavers)","4","0.72"
