"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  217  avg =  69.166"
"response","count","percent_responded"
"100","103","47.47"
"0","33","15.21"
"50","9","4.15"
"99","8","3.69"
"98","6","2.76"
"10","4","1.84"
"75","4","1.84"
"80","4","1.84"
"95","4","1.84"
"1","3","1.38"
"30","3","1.38"
"90","3","1.38"
"96","3","1.38"
"18","2","0.92"
"3","2","0.92"
"4","2","0.92"
"12","1","0.46"
"15","1","0.46"
"2","1","0.46"
"23","1","0.46"
"25","1","0.46"
"26","1","0.46"
"32","1","0.46"
"37","1","0.46"
"42","1","0.46"
"49","1","0.46"
"51","1","0.46"
"52","1","0.46"
"6","1","0.46"
"65","1","0.46"
"7","1","0.46"
"70","1","0.46"
"73","1","0.46"
"84","1","0.46"
"85","1","0.46"
"89","1","0.46"
"9","1","0.46"
"93","1","0.46"
"94","1","0.46"
"97","1","0.46"
