"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  419"
"response","count","percent_responded"
"Smoke flower","285","68.02"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","244","58.23"
"Vape cartridges","200","47.73"
"Tinctures","144","34.37"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","143","34.13"
"Vape flower","114","27.21"
"Salves/topicals","94","22.43"
"Capsules","61","14.56"
"Transdermal patches","26","6.21"
"Other (please specify)","18","4.3"
"Suppositories","12","2.86"
