"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  232  avg =  67.185"
"response","count","percent_responded"
"100","117","50.43"
"0","33","14.22"
"50","7","3.02"
"75","7","3.02"
"99","7","3.02"
"1","6","2.59"
"10","4","1.72"
"98","4","1.72"
"15","3","1.29"
"2","3","1.29"
"30","3","1.29"
"80","3","1.29"
"95","3","1.29"
"17","2","0.86"
"25","2","0.86"
"26","2","0.86"
"3","2","0.86"
"5","2","0.86"
"51","2","0.86"
"65","2","0.86"
"90","2","0.86"
"13","1","0.43"
"14","1","0.43"
"19","1","0.43"
"20","1","0.43"
"33","1","0.43"
"36","1","0.43"
"40","1","0.43"
"52","1","0.43"
"56","1","0.43"
"6","1","0.43"
"67","1","0.43"
"7","1","0.43"
"8","1","0.43"
"87","1","0.43"
"96","1","0.43"
"97","1","0.43"
