"q9","Have you experienced any side effects from using cannabis? Please select all that apply","n =  279"
"response","count","percent_responded"
"Dry mouth","185","66.31"
"More or less talkative","85","30.47"
"Changes in appetite","76","27.24"
"Sleepiness/fatigue","74","26.52"
"Increased energy","71","25.45"
"Experienced no side effects","52","18.64"
"Memory problems","45","16.13"
"Changes in libido","35","12.54"
"Difficultly concentrating","28","10.04"
"Feeling of being ""altered""","28","10.04"
"Racing thoughts","27","9.68"
"Paranoia","26","9.32"
"Heart racing/palpitations","23","8.24"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","22","7.89"
"Tough to get started in the morning (lassitude)","19","6.81"
"Other (please specify)","16","5.73"
"Anxiety","14","5.02"
"Headache","10","3.58"
"Apathy","9","3.23"
"Dizziness","7","2.51"
"Sweating","7","2.51"
"Nausea","5","1.79"
"Depression","4","1.43"
"GI changes (e.g. constipation, diarrhea, abdominal discomfort)","4","1.43"
