"q51","What type of cannabis advertising have you been exposed to in the past 30 days? Please check all that apply.","n =  151"
"response","count","percent_responded"
"Digitally on a cell phone, tablet, or computer (through email, text messages, websites, or social media)","65","43.05"
"Have not seen advertising","56","37.09"
"In magizines or newspapers","32","21.19"
"On billboards","22","14.57"
"On storefronts","21","13.91"
"At an event, like a concert, fair, rodeo, parade, or similar","16","10.6"
"On the radio","15","9.93"
"In pamphlets or flyers","9","5.96"
"On television","8","5.3"
"Other (please specify)","8","5.3"
"Other (please specify below)","6","3.97"
"On street side marketing, like sandwich boards","5","3.31"
"On signs being held by people on sidewalks (sign wavers)","1","0.66"
