"q41","What features are missing from your sources of information that you would like to see included?","n =  794"
"response","count","percent_responded"
"None","90","11.34"
"none","43","5.42"
"N/A","26","3.27"
"Nothing","20","2.52"
"N/a","19","2.39"
"n/a","16","2.02"
"Not sure","16","2.02"
"None ","12","1.51"
"nothing","10","1.26"
"Na","8","1.01"
"na","7","0.88"
"not sure","7","0.88"
"Nothing ","7","0.88"
"Not sure ","5","0.63"
"unsure","4","0.5"
"None I can think of","3","0.38"
"None.","3","0.38"
"prices","3","0.38"
"Deals","2","0.25"
"Don’t know","2","0.25"
"I don't know","2","0.25"
"idk","2","0.25"
"Idk","2","0.25"
"more individual strain info","2","0.25"
"More pictures","2","0.25"
"More strains","2","0.25"
"Na ","2","0.25"
"Nada","2","0.25"
"Nih","2","0.25"
"Pictures","2","0.25"
"Price","2","0.25"
"Recipes","2","0.25"
"Regular updates sometime","2","0.25"
"Terpene profiles","2","0.25"
"360 product pics","1","0.13"
"A better product/company description ","1","0.13"
"a lot of people are unaware of the extra $50 app fee(can be waved with Mass Health). They also don't realize that medical marijuana isn't taxed.","1","0.13"
"a site that provides accurate up to the minute state status on all the states and what is legal and what is not. States change things all the time, and looking for real time.  Ohio just changed their Hemp CBD law - I was clueless, and I am a Practitioner!","1","0.13"
"a wishlist/shopping list, and a way to save your favorite items","1","0.13"
"Ability to get products from other states","1","0.13"
"Accept other payment forms ","1","0.13"
"Accuracy","1","0.13"
"accuracy of info","1","0.13"
"Accurate estimates of  cannaboid content","1","0.13"
"Accurate in stock items","1","0.13"
"accurate inventory at dispensaries","1","0.13"
"Accurate percentage ","1","0.13"
"Accurate percentages of more cannabinoids ","1","0.13"
"Accurate regional availability","1","0.13"
"Accurate specials","1","0.13"
"Actual rigorous medical research on benefits and harm of marijuana ","1","0.13"
"adverse effect information","1","0.13"
"all discounts in one place","1","0.13"
"All dispensary tests results should include terpene profile. Period!","1","0.13"
