"q46","What information would you like to know related to cannabis to help you make a decision about what cannabis products to use? Please select all that apply.","n =  825"
"response","count","percent_responded"
"Different effects of different cannabinoids","593","71.88"
"Medical value of cannabis","479","58.06"
"Cultivation and extraction","382","46.3"
"Cannabis genetics","320","38.79"
"Cannabis and pharmaceutical drug interactions","313","37.94"
"Side effects of cannabis","230","27.88"
"Other (please specify)","50","6.06"
"Other (please list below)","38","4.61"
