"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  419"
"response","count","percent_responded"
"Chronic pain","153","36.52"
"Posttraumatic stress disorder (PTSD)","104","24.82"
"Anxiety","42","10.02"
"Depression","23","5.49"
"Insomnia","17","4.06"
"Cancer","14","3.34"
"Arthritis","13","3.1"
"Bipolar/manic depression","8","1.91"
"Cardiovascular disease","7","1.67"
"Diabetes","7","1.67"
"Fibromyalgia/myositis","6","1.43"
"Respiratory problems","6","1.43"
"Gastrointestinal/digestive system disorders","3","0.72"
"Hypertension","3","0.72"
"Substance abuse/addiction","3","0.72"
"Attention deficit/hyperactivity disorder (ADHD)","2","0.48"
"Obesity","2","0.48"
"Reflux esophagitis","2","0.48"
"Allergies","1","0.24"
"HIV/AIDS","1","0.24"
"Inflammatory bowel disease (IBD)","1","0.24"
"Multiple sclerosis","1","0.24"
