"q91","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","n =  174"
"response","count","percent_responded"
"Some college, no degree","67","38.51"
"Associate's degree","26","14.94"
"Bachelor's degree","26","14.94"
"High school degree or equivalent (GED)","24","13.79"
"Master's degree","17","9.77"
"Vocational degree","8","4.6"
"Professional degree (MD, JD, DDS, DVM)","3","1.72"
"Doctorate (Ph.D, Ed.D, etc)","2","1.15"
"Less than high school diploma","1","0.57"
