"q11","Are you actively trying to reduce your prescription 
medication intake using cannabis? 
Please select all that apply.","n =  119"
"response","count","percent_responded"
"I reduced my use of medications in the past","37","31.09"
"Not actively trying to reduce medication intake","37","31.09"
"antidepressants,","25","21.01"
"Over the counter medications","23","19.33"
"NSAID/non-opioid analgesics,","22","18.49"
"anxiolytics/benzodiazepines,","16","13.45"
"sedatives/hypnotics,","15","12.61"
"Narcotics/opioids,","14","11.76"
"muscle relaxants,","12","10.08"
"Other (please specify)","12","10.08"
"antimigraine,","7","5.88"
"anti-convulsants,","3","2.52"
"antipsychotics,","3","2.52"
"proton pump inhibitors,","2","1.68"
"anti-emetics,","1","0.84"
