"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  284"
"response","count","percent_responded"
"Chronic pain","91","32.04"
"Posttraumatic stress disorder (PTSD)","71","25"
"Anxiety","39","13.73"
"Depression","28","9.86"
"Insomnia","17","5.99"
"Arthritis","9","3.17"
"Cancer","7","2.46"
"Substance abuse/addiction","7","2.46"
"Attention deficit/hyperactivity disorder (ADHD)","3","1.06"
"Bipolar/manic depression","3","1.06"
"Fibromyalgia/myositis","2","0.7"
"Hypertension","2","0.7"
"Multiple sclerosis","2","0.7"
"Cardiovascular disease","1","0.35"
"Gastrointestinal/digestive system disorders","1","0.35"
"Inflammatory bowel disease (IBD)","1","0.35"
