"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  284  avg =  85.905"
"response","count","percent_responded"
"0","129","45.42"
"20","18","6.34"
"10","16","5.63"
"30","13","4.58"
"150","10","3.52"
"100","9","3.17"
"50","9","3.17"
"300","6","2.11"
"40","6","2.11"
"400","6","2.11"
"60","5","1.76"
"1","4","1.41"
"200","4","1.41"
"250","4","1.41"
"500","4","1.41"
"15","3","1.06"
"25","3","1.06"
"5","3","1.06"
"600","3","1.06"
"8","3","1.06"
"1000","2","0.7"
"35","2","0.7"
"350","2","0.7"
"45","2","0.7"
"55","2","0.7"
"80","2","0.7"
"800","2","0.7"
"125","1","0.35"
"140","1","0.35"
"1400","1","0.35"
"1500","1","0.35"
"16","1","0.35"
"2000","1","0.35"
"3","1","0.35"
"44","1","0.35"
"7","1","0.35"
"70","1","0.35"
"9","1","0.35"
"90","1","0.35"
