"q91","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","n =  85"
"response","count","percent_responded"
"Some college, no degree","30","35.29"
"Bachelor's degree","18","21.18"
"Associate's degree","15","17.65"
"Master's degree","10","11.76"
"High school degree or equivalent (GED)","7","8.24"
"Vocational degree","2","2.35"
"Doctorate (Ph.D, Ed.D, etc)","1","1.18"
"Less than high school diploma","1","1.18"
"Professional degree (MD, JD, DDS, DVM)","1","1.18"
