"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  232"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","71","30.6"
"I have reduced my prescription medication use in the past","53","22.84"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","49","21.12"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","44","18.97"
"Anti-inflammatories","43","18.53"
"I don’t take any medications","38","16.38"
"I'm not trying to reduce any medication use","36","15.52"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","33","14.22"
"Muscle relaxants","33","14.22"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","21","9.05"
"Other (please specify)","16","6.9"
"Statins (e.g. Lipitor, Crestor)","14","6.03"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","12","5.17"
"Beta Blockers","9","3.88"
"Sedatives/hypnotics","9","3.88"
"Steroids, including steroid creams","9","3.88"
"Antihypertensives","8","3.45"
"Antimigraine","8","3.45"
"Antipsychotics (e.g. Abilify, Seroquel)","4","1.72"
"Antiemetics","3","1.29"
"Barbiturates (e.g. Floricet)","3","1.29"
"Proton pump inhibitors","3","1.29"
"Insulin","2","0.86"
