"q91","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","n =  232"
"response","count","percent_responded"
"Some college, no degree","66","28.45"
"Bachelor's degree","60","25.86"
"Associate's degree","34","14.66"
"Master's degree","34","14.66"
"High school degree or equivalent (GED)","17","7.33"
"Vocational degree","10","4.31"
"Professional degree (MD, JD, DDS, DVM)","6","2.59"
"Doctorate (Ph.D, Ed.D, etc)","3","1.29"
"Less than high school diploma","2","0.86"
