"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  8"
"response","count","percent_responded"
"Sleep/insomnia","7","87.5"
"Aggression","3","37.5"
"Depression/mood","3","37.5"
"Pain","3","37.5"
"Inflammation","2","25"
"Anxiety/panic attacks","1","12.5"
"Appetite/weight","1","12.5"
"Attention/concentration","1","12.5"
"Headache","1","12.5"
"Other (please specify)","1","12.5"
"Skin conditions","1","12.5"
"Spasms","1","12.5"
