"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  56"
"response","count","percent_responded"
"Pain","36","64.29"
"Sleep/insomnia","28","50"
"Depression/mood","24","42.86"
"Anxiety/panic attacks","23","41.07"
"Aggression","17","30.36"
"Inflammation","13","23.21"
"Headache","11","19.64"
"Appetite/weight","9","16.07"
"Spasms","9","16.07"
"Attention/concentration","6","10.71"
"Other (please specify)","4","7.14"
"Nausea/vomiting","3","5.36"
"Ocular pressure","2","3.57"
"Skin conditions","2","3.57"
"Mania/psychosis","1","1.79"
