"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  146  avg =  20.836"
"response","count","percent_responded"
"0","40","27.4"
"2","7","4.79"
"1","6","4.11"
"6","6","4.11"
"13","5","3.42"
"16","5","3.42"
"3","5","3.42"
"50","5","3.42"
"100","4","2.74"
"11","3","2.05"
"17","3","2.05"
"19","3","2.05"
"29","3","2.05"
"30","3","2.05"
"39","3","2.05"
"7","3","2.05"
"12","2","1.37"
"14","2","1.37"
"21","2","1.37"
"24","2","1.37"
"4","2","1.37"
"5","2","1.37"
"51","2","1.37"
"52","2","1.37"
"57","2","1.37"
"8","2","1.37"
"18","1","0.68"
"22","1","0.68"
"23","1","0.68"
"25","1","0.68"
"31","1","0.68"
"34","1","0.68"
"36","1","0.68"
"43","1","0.68"
"55","1","0.68"
"60","1","0.68"
"63","1","0.68"
"64","1","0.68"
"65","1","0.68"
"70","1","0.68"
"73","1","0.68"
"81","1","0.68"
"82","1","0.68"
"83","1","0.68"
"9","1","0.68"
"91","1","0.68"
"97","1","0.68"
"99","1","0.68"
