"q19","What percent of your monthly cannabis purchases are through regulated sources (dispensaries, caregivers, etc.)","n =  834  avg =  75.355"
"response","count","percent_responded"
"100","496","59.47"
"0","107","12.83"
"50","24","2.88"
"90","17","2.04"
"75","13","1.56"
"80","13","1.56"
"99","12","1.44"
"10","9","1.08"
"85","9","1.08"
"1","8","0.96"
"95","8","0.96"
"5","7","0.84"
"97","7","0.84"
"25","6","0.72"
"30","6","0.72"
"2","5","0.6"
"20","5","0.6"
"70","5","0.6"
"94","5","0.6"
"40","4","0.48"
"60","4","0.48"
"52","3","0.36"
"65","3","0.36"
"7","3","0.36"
"88","3","0.36"
"98","3","0.36"
"15","2","0.24"
"21","2","0.24"
"45","2","0.24"
"51","2","0.24"
"55","2","0.24"
"56","2","0.24"
"59","2","0.24"
"84","2","0.24"
"86","2","0.24"
"11","1","0.12"
"12","1","0.12"
"13","1","0.12"
"16","1","0.12"
"19","1","0.12"
"24","1","0.12"
"27","1","0.12"
"3","1","0.12"
"32","1","0.12"
"34","1","0.12"
"35","1","0.12"
"39","1","0.12"
"42","1","0.12"
"46","1","0.12"
"47","1","0.12"
"48","1","0.12"
"49","1","0.12"
"53","1","0.12"
"54","1","0.12"
"57","1","0.12"
"6","1","0.12"
"64","1","0.12"
"66","1","0.12"
"69","1","0.12"
"71","1","0.12"
"73","1","0.12"
"74","1","0.12"
"82","1","0.12"
"87","1","0.12"
"93","1","0.12"
"96","1","0.12"
