"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  87"
"response","count","percent_responded"
"Chronic pain","61","70.11"
"Anxiety","60","68.97"
"Depression","54","62.07"
"Posttraumatic stress disorder (PTSD)","53","60.92"
"Insomnia","34","39.08"
"Arthritis","26","29.89"
"Attention deficit/hyperactivity disorder (ADHD)","11","12.64"
"Hypertension","9","10.34"
"Gastrointestinal/digestive system disorders","8","9.2"
"Substance abuse/addiction","8","9.2"
"Cancer","7","8.05"
"Reflux esophagitis","7","8.05"
"Bipolar/manic depression","6","6.9"
"Fibromyalgia/myositis","6","6.9"
"Other (please specify)","6","6.9"
"Inflammatory bowel disease (IBD)","5","5.75"
"Respiratory problems","4","4.6"
"Cardiovascular disease","3","3.45"
"Allergies","2","2.3"
"Eczema","2","2.3"
"Epilepsy","2","2.3"
"Autism","1","1.15"
"Diabetes","1","1.15"
"Multiple sclerosis","1","1.15"
