"q48","What is your top preferred method (that is, favorite method) of using cannabis? (Please select one)","n =  293"
"response","count","percent_responded"
"Smoke flower","157","53.58"
"Vape cartridges","50","17.06"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","39","13.31"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","18","6.14"
"Vape flower","12","4.1"
"Tinctures","11","3.75"
"Capsules","4","1.37"
"Salves/topicals","1","0.34"
"Transdermal patches","1","0.34"
