"q48","What is your top preferred method (that is, favorite method) of using cannabis? (Please select one)","n =  333"
"response","count","percent_responded"
"Smoke flower","175","52.55"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","46","13.81"
"Vape cartridges","41","12.31"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","29","8.71"
"Vape flower","18","5.41"
"Tinctures","13","3.9"
"Capsules","8","2.4"
"Salves/topicals","2","0.6"
"Transdermal patches","1","0.3"
