"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  419"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","189","45.11"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","127","30.31"
"I don’t take any prescription medications","106","25.3"
"Anti-inflammatories","97","23.15"
"Other (please specify)","83","19.81"
"Muscle relaxants","71","16.95"
"Statins (e.g. Lipitor, Crestor)","71","16.95"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","60","14.32"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","59","14.08"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","51","12.17"
"Antihypertensives","43","10.26"
"Steroids, including steroid creams","42","10.02"
"Beta Blockers","37","8.83"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","25","5.97"
"Antipsychotics (e.g. Abilify, Seroquel)","24","5.73"
"Antimigraine","21","5.01"
"Insulin","21","5.01"
"Sedatives/hypnotics","17","4.06"
"Proton pump inhibitors","16","3.82"
"Hormone replacement therapy (HRT)","11","2.63"
"Barbiturates (e.g. Floricet)","6","1.43"
"Antiemetics","2","0.48"
