"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  333"
"response","count","percent_responded"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","98","29.43"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","97","29.13"
"I have reduced my prescription medication use in the past","80","24.02"
"I don’t take any medications","65","19.52"
"Muscle relaxants","55","16.52"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","54","16.22"
"Anti-inflammatories","51","15.32"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","46","13.81"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","42","12.61"
"I'm not trying to reduce any medication use","38","11.41"
"Other (please specify)","23","6.91"
"Sedatives/hypnotics","16","4.8"
"Statins (e.g. Lipitor, Crestor)","15","4.5"
"Steroids, including steroid creams","13","3.9"
"Beta Blockers","12","3.6"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","12","3.6"
"Antimigraine","11","3.3"
"Antipsychotics (e.g. Abilify, Seroquel)","11","3.3"
"Antihypertensives","10","3"
"Proton pump inhibitors","7","2.1"
"Barbiturates (e.g. Floricet)","6","1.8"
"Insulin","6","1.8"
"Hormone replacement therapy (HRT)","3","0.9"
"Antiemetics","2","0.6"
