"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  56"
"response","count","percent_responded"
"Money to purchase products","24","42.86"
"Access to the right products","19","33.93"
"Money required to get medical card","18","32.14"
"Lack of knowledge","13","23.21"
"Owning a firearm","12","21.43"
"Stigma","9","16.07"
"Other (please specify)","7","12.5"
"Place to consume cannabis","6","10.71"
"Workplace testing or other policies","6","10.71"
"Previous bad experience","1","1.79"
