"q6","What symptoms for the primary condition do you use cannabis to treat? Please select all that apply.","n =  442"
"response","count","percent_responded"
"Pain","423","95.7"
"Sleep","313","70.81"
"Inflammation","256","57.92"
"Anxiety","233","52.71"
"Depression","170","38.46"
"Spasms","164","37.1"
"Headache","142","32.13"
"Nausea","97","21.95"
"Appetite/weight","61","13.8"
"Attention/concentration","54","12.22"
"Aggression","45","10.18"
"Other (please specify)","27","6.11"
"Skin conditions","26","5.88"
"Drug withdrawl","19","4.3"
"Ocular pressure","16","3.62"
"Mainia/psychosis","9","2.04"
"Seizures","7","1.58"
"Respiratory","4","0.9"
"No Symptoms","2","0.45"
