"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  391"
"response","count","percent_responded"
"Smoke flower","250","63.94"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","241","61.64"
"Vape cartridges","197","50.38"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","137","35.04"
"Tinctures","133","34.02"
"Vape flower","116","29.67"
"Salves/topicals","92","23.53"
"Capsules","60","15.35"
"Transdermal patches","30","7.67"
"Other (please specify)","13","3.32"
"Suppositories","13","3.32"
