"q13","Where are the locations of your pain (please check all that apply)","n =  26"
"response","count","percent_responded"
"Lower back","19","73.08"
"Leg","16","61.54"
"General joint pain","14","53.85"
"Hips","13","50"
"Knee","13","50"
"Head/headache","12","46.15"
"Shoulder","12","46.15"
"Hand","11","42.31"
"Neck","11","42.31"
"Generalized muscle pain","10","38.46"
"Upper back","10","38.46"
"Arm","8","30.77"
"Foot","8","30.77"
"Wrist","8","30.77"
"Abdomen","5","19.23"
"Buttocks","5","19.23"
"Chest","4","15.38"
"Full body","4","15.38"
"Mouth/dental pain","2","7.69"
"Stomach","2","7.69"
"Face","1","3.85"
"Genitalia","1","3.85"
"Other (please specify)","1","3.85"
"Rectum","1","3.85"
