"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  333"
"response","count","percent_responded"
"Depression/mood","196","58.86"
"Sleep/insomnia","193","57.96"
"Pain","187","56.16"
"Anxiety/panic attacks","160","48.05"
"Aggression","101","30.33"
"Headache","88","26.43"
"Attention/concentration","77","23.12"
"Inflammation","71","21.32"
"Appetite/weight","67","20.12"
"Spasms","67","20.12"
"Nausea/vomiting","45","13.51"
"Other (please specify)","21","6.31"
"Ocular pressure","16","4.8"
"Mania/psychosis","12","3.6"
"Skin conditions","12","3.6"
"Respiratory","8","2.4"
"Seizures","5","1.5"
"Drug withdrawal","3","0.9"
