Respondent ID,Did you ever go on combat patrols or have other dangerous duty?,Were you ever under enemy fire?,Were you ever surrounded by the enemy?,"What percentage of the soldiers in your unit were killed (KIA), wounded or missing in action (MIA)?",How often did you fire rounds at the enemy?,How often did you see someone hit by incoming or outgoing rounds?,"How often were you in danger of being injured or killed (i.e., being pinned down, overrun, ambushed, near miss, etc.)?",,,,,,,,,
,Response,Response,Response,Response,Response,Response,Response,,,,,,,,,
11232533197,1,1,1,1,1,1,2,,0,0,0,0,0,0,2,2
11215559561,1,4,1,2,1,3,2,,0,3,0,1,0,4,2,10
10580341387,4,5,1,2,1,3,5,,6,4,0,1,0,4,8,23
10579646891,3,2,1,1,4,5,3,,4,1,0,0,3,8,4,20
10578271769,5,3,5,3,2,1,3,,8,2,6,2,1,0,4,23
10577642085,1,1,1,2,1,1,1,,0,0,0,1,0,0,0,1
10577209087,2,2,1,1,1,1,1,,2,1,0,0,0,0,0,3
10575471607,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0
10574898510,4,5,2,2,5,3,5,,6,4,2,1,4,4,8,29
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0,0,0,0,0,2,0,Light,,,Light,4,0.444444444,,,
0,3,0,1,0,4,2,1,Light,,,Light - Moderate,1,0.111111111,,,
6,4,0,1,0,4,8,2,Light,,,Moderate,3,0.333333333,,,
4,1,0,0,3,8,4,3,Light,,,Moderate - Heavy,1,0.111111111,,,
8,2,6,2,1,0,4,10,Light - Moderate,,,,9,,,,
0,0,0,1,0,0,0,20,Moderate,,,,,,,,
2,1,0,0,0,0,0,23,Moderate,,,,,,,,
0,0,0,0,0,0,0,23,Moderate,,,,,,,,
6,4,2,1,4,4,8,29,Moderate - Heavy,,,,,,,,
