"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  265"
"response","count","percent_responded"
"Chronic pain","182","68.68"
"Anxiety","179","67.55"
"Depression","166","62.64"
"Posttraumatic stress disorder (PTSD)","141","53.21"
"Insomnia","102","38.49"
"Arthritis","79","29.81"
"Gastrointestinal/digestive system disorders","33","12.45"
"Other (please specify)","27","10.19"
"Hypertension","26","9.81"
"Attention deficit/hyperactivity disorder (ADHD)","21","7.92"
"Substance abuse/addiction","21","7.92"
"Bipolar/manic depression","18","6.79"
"Inflammatory bowel disease (IBD)","16","6.04"
"Fibromyalgia/myositis","14","5.28"
"Cancer","13","4.91"
"Allergies","9","3.4"
"Reflux esophagitis","8","3.02"
"Respiratory problems","8","3.02"
"Diabetes","5","1.89"
"HIV/AIDS","5","1.89"
"Obesity","5","1.89"
"Cardiovascular disease","4","1.51"
"Eczema","4","1.51"
"Multiple sclerosis","2","0.75"
"Alzheimer's","1","0.38"
"Epilepsy","1","0.38"
