"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  266"
"response","count","percent_responded"
"Posttraumatic stress disorder (PTSD)","83","31.2"
"Chronic pain","82","30.83"
"Anxiety","41","15.41"
"Depression","20","7.52"
"Insomnia","14","5.26"
"Bipolar/manic depression","8","3.01"
"Substance abuse/addiction","6","2.26"
"Arthritis","3","1.13"
"Fibromyalgia/myositis","2","0.75"
"Attention deficit/hyperactivity disorder (ADHD)","1","0.38"
"Cancer","1","0.38"
"Cardiovascular disease","1","0.38"
"Gastrointestinal/digestive system disorders","1","0.38"
"HIV/AIDS","1","0.38"
"Inflammatory bowel disease (IBD)","1","0.38"
"Multiple sclerosis","1","0.38"
