"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  146"
"response","count","percent_responded"
"Chronic pain","64","43.84"
"Posttraumatic stress disorder (PTSD)","40","27.4"
"Depression","11","7.53"
"Anxiety","9","6.16"
"Gastrointestinal/digestive system disorders","4","2.74"
"Bipolar/manic depression","3","2.05"
"Cancer","3","2.05"
"Multiple sclerosis","3","2.05"
"Arthritis","2","1.37"
"Insomnia","2","1.37"
"Obesity","2","1.37"
"Cardiovascular disease","1","0.68"
"Hypertension","1","0.68"
"Inflammatory bowel disease (IBD)","1","0.68"
