"q13","Where are the locations of your pain (please check all that apply)","n =  107"
"response","count","percent_responded"
"Lower back","84","78.5"
"Knee","59","55.14"
"General joint pain","56","52.34"
"Hips","53","49.53"
"Neck","50","46.73"
"Leg","49","45.79"
"Shoulder","46","42.99"
"Upper back","39","36.45"
"Foot","37","34.58"
"Head/headache","35","32.71"
"Generalized muscle pain","34","31.78"
"Hand","34","31.78"
"Arm","30","28.04"
"Wrist","28","26.17"
"Abdomen","20","18.69"
"Buttocks","19","17.76"
"Full body","16","14.95"
"Mouth/dental pain","14","13.08"
"Stomach","12","11.21"
"Chest","10","9.35"
"Other (please specify)","8","7.48"
"Face","7","6.54"
"Genitalia","4","3.74"
"Rectum","4","3.74"
