"q91","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","n =  217"
"response","count","percent_responded"
"Some college, no degree","60","27.65"
"Bachelor's degree","50","23.04"
"Associate's degree","39","17.97"
"High school degree or equivalent (GED)","25","11.52"
"Master's degree","23","10.6"
"Vocational degree","14","6.45"
"Doctorate (Ph.D, Ed.D, etc)","3","1.38"
"Professional degree (MD, JD, DDS, DVM)","3","1.38"
