"q14","What are the effects of your pain? (Please select all that apply)","n =  46"
"response","count","percent_responded"
"Physical activity","41","89.13"
"Enjoyment of life","38","82.61"
"Sleep","38","82.61"
"Energy level","36","78.26"
"Mobility","35","76.09"
"Mood","29","63.04"
"Depression","25","54.35"
"Household chores","23","50"
"Concentration","22","47.83"
"Anxiety","21","45.65"
"Self esteem","19","41.3"
"Relationships with others","16","34.78"
"Sexual functioning","13","28.26"
"Memory","10","21.74"
"Personal care","10","21.74"
"Appetite","9","19.57"
