"q5","What is the primary health condition for which you find cannabis to be helpful or most impactful? Please select one.","n =  641"
"response","count","percent_responded"
"Anxiety","179","27.93"
"Chronic pain","170","26.52"
"Depression/mood","137","21.37"
"Post-Traumatic Stress Disorder (PTSD)","57","8.89"
"Other (please specify)","39","6.08"
"Insomnia","17","2.65"
"Inflammatory Bowel Disease (IBD)","16","2.5"
"Attention Deficit/Hyperactivity Disorder (ADHD)","8","1.25"
"Multiple Sclerosis","7","1.09"
"Arthritis","4","0.62"
"Nausea/vomiting","4","0.62"
"End of life care","1","0.16"
"Epilipsey","1","0.16"
"Not using cannabis for a health condition","1","0.16"
