"q48","What is your top preferred method (that is, favorite method) of using cannabis? (Please select one)","n =  217"
"response","count","percent_responded"
"Smoke flower","90","41.47"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","34","15.67"
"Vape cartridges","34","15.67"
"Tinctures","19","8.76"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","15","6.91"
"Capsules","12","5.53"
"Vape flower","9","4.15"
"Salves/topicals","3","1.38"
"Transdermal patches","1","0.46"
