"q9","Have you experienced any side effects from using cannabis? Please select all that apply","n =  825"
"response","count","percent_responded"
"Dry mouth","516","62.55"
"Changes in appetite","218","26.42"
"Sleepiness/fatigue","215","26.06"
"More or less talkative","208","25.21"
"Increased energy","207","25.09"
"Experienced no side effects","155","18.79"
"Memory problems","135","16.36"
"Feeling of being ""altered""","95","11.52"
"Changes in libido","79","9.58"
"Difficultly concentrating","79","9.58"
"Paranoia","77","9.33"
"Heart racing/palpitations","75","9.09"
"Racing thoughts","66","8"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","60","7.27"
"Anxiety","57","6.91"
"Tough to get started in the morning (lassitude)","57","6.91"
"Other (please specify)","47","5.7"
"Dizziness","39","4.73"
"Headache","30","3.64"
"Sweating","21","2.55"
"Apathy","20","2.42"
"GI changes (e.g. constipation, diarrhea, abdominal discomfort)","19","2.3"
"Nausea","15","1.82"
"Depression","13","1.58"
