"q29","What percentage of disability are you rated, as indicated by the Veteran's Affairs (VA)?","n =  284  avg =  46.94"
"response","count","percent_responded"
"0","83","29.23"
"100","60","21.13"
"10","19","6.69"
"70","18","6.34"
"90","15","5.28"
"80","14","4.93"
"60","12","4.23"
"30","10","3.52"
"40","8","2.82"
"50","7","2.46"
"20","6","2.11"
"1","4","1.41"
"99","4","1.41"
"22","2","0.7"
"9","2","0.7"
"14","1","0.35"
"2","1","0.35"
"3","1","0.35"
"31","1","0.35"
"43","1","0.35"
"47","1","0.35"
"48","1","0.35"
"51","1","0.35"
"53","1","0.35"
"6","1","0.35"
"64","1","0.35"
"67","1","0.35"
"74","1","0.35"
"75","1","0.35"
"87","1","0.35"
"92","1","0.35"
"93","1","0.35"
"94","1","0.35"
"97","1","0.35"
"98","1","0.35"
