"q61","What is the highest degree or level of school you have completed? If you are currently enrolled in school, please indicate the highest degree you have recieved.","n =  442"
"response","count","percent_responded"
"Some college, no degree","120","27.15"
"Bachelors degree","94","21.27"
"Masters degree","66","14.93"
"High school degree or equivalent (GED)","65","14.71"
"Associate degree","56","12.67"
"Professional degree (MD, JD, DDS, DVM)","14","3.17"
"Prefer not to answer","13","2.94"
"Less than high school diploma","8","1.81"
"Doctorate (Ph.D., EdD, etc)","6","1.36"
