"q30","What are some barriers for you consuming cannabis? Please select all that apply.","n =  101"
"response","count","percent_responded"
"Money","65","64.36"
"Access to the right products","39","38.61"
"Place to consume cannabis","32","31.68"
"Stigma","31","30.69"
"Workplace testing or other policies","21","20.79"
"No barriers","18","17.82"
"Lack of knowledge","15","14.85"
"Time required to get medical card or obtain products","14","13.86"
"Other (please specify)","10","9.9"
"Previous bad experience","4","3.96"
