"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  419  avg =  20.134"
"response","count","percent_responded"
"0","141","33.65"
"50","19","4.53"
"1","13","3.1"
"100","9","2.15"
"26","9","2.15"
"51","9","2.15"
"16","8","1.91"
"2","8","1.91"
"21","8","1.91"
"10","7","1.67"
"11","7","1.67"
"19","7","1.67"
"27","7","1.67"
"4","7","1.67"
"49","7","1.67"
"13","6","1.43"
"20","6","1.43"
"24","6","1.43"
"3","6","1.43"
"38","6","1.43"
"6","6","1.43"
"8","6","1.43"
"9","6","1.43"
"22","5","1.19"
"23","5","1.19"
"33","5","1.19"
"35","5","1.19"
"48","5","1.19"
"7","5","1.19"
"14","4","0.95"
"17","4","0.95"
"25","4","0.95"
"29","4","0.95"
"15","3","0.72"
"18","3","0.72"
"28","3","0.72"
"30","3","0.72"
"32","3","0.72"
"39","3","0.72"
"47","3","0.72"
"76","3","0.72"
"41","2","0.48"
"42","2","0.48"
"43","2","0.48"
"44","2","0.48"
"5","2","0.48"
"52","2","0.48"
"53","2","0.48"
"64","2","0.48"
"34","1","0.24"
"36","1","0.24"
"40","1","0.24"
"45","1","0.24"
"46","1","0.24"
"54","1","0.24"
"61","1","0.24"
"66","1","0.24"
"69","1","0.24"
"70","1","0.24"
"71","1","0.24"
"77","1","0.24"
"78","1","0.24"
"80","1","0.24"
"83","1","0.24"
"85","1","0.24"
"87","1","0.24"
"98","1","0.24"
"99","1","0.24"
