"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  391"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","195","49.87"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","157","40.15"
"Anti-inflammatories","120","30.69"
"Muscle relaxants","95","24.3"
"Statins (e.g. Lipitor, Crestor)","81","20.72"
"Other (please specify)","79","20.2"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","78","19.95"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","72","18.41"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","68","17.39"
"Antihypertensives","49","12.53"
"Steroids, including steroid creams","47","12.02"
"Beta Blockers","41","10.49"
"I don’t take any prescription medications","39","9.97"
"Antimigraine","29","7.42"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","26","6.65"
"Antipsychotics (e.g. Abilify, Seroquel)","25","6.39"
"Proton pump inhibitors","22","5.63"
"Sedatives/hypnotics","22","5.63"
"Insulin","19","4.86"
"Hormone replacement therapy (HRT)","15","3.84"
"Barbiturates (e.g. Floricet)","8","2.05"
"Antiemetics","4","1.02"
