"q14","What are the effects of your pain? (Please select all that apply)","n =  92"
"response","count","percent_responded"
"Physical activity","77","83.7"
"Enjoyment of life","75","81.52"
"Energy level","67","72.83"
"Sleep","66","71.74"
"Mobility","63","68.48"
"Mood","61","66.3"
"Depression","53","57.61"
"Household chores","52","56.52"
"Concentration","43","46.74"
"Relationships with others","39","42.39"
"Sexual functioning","38","41.3"
"Anxiety","37","40.22"
"Self esteem","37","40.22"
"Personal care","22","23.91"
"Memory","21","22.83"
"Appetite","14","15.22"
