"q91","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","n =  185"
"response","count","percent_responded"
"Some college, no degree","55","29.73"
"Bachelor's degree","37","20"
"Associate's degree","31","16.76"
"High school degree or equivalent (GED)","27","14.59"
"Master's degree","22","11.89"
"Vocational degree","10","5.41"
"Doctorate (Ph.D, Ed.D, etc)","2","1.08"
"Professional degree (MD, JD, DDS, DVM)","1","0.54"
