"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  293  avg =  18.59"
"response","count","percent_responded"
"0","109","37.2"
"50","13","4.44"
"1","12","4.1"
"100","9","3.07"
"16","9","3.07"
"2","7","2.39"
"21","7","2.39"
"6","7","2.39"
"17","5","1.71"
"27","5","1.71"
"30","5","1.71"
"4","5","1.71"
"7","5","1.71"
"9","5","1.71"
"13","4","1.37"
"25","4","1.37"
"26","4","1.37"
"5","4","1.37"
"10","3","1.02"
"11","3","1.02"
"18","3","1.02"
"19","3","1.02"
"22","3","1.02"
"29","3","1.02"
"33","3","1.02"
"39","3","1.02"
"43","3","1.02"
"48","3","1.02"
"8","3","1.02"
"12","2","0.68"
"15","2","0.68"
"20","2","0.68"
"28","2","0.68"
"3","2","0.68"
"32","2","0.68"
"35","2","0.68"
"38","2","0.68"
"49","2","0.68"
"51","2","0.68"
"52","2","0.68"
"14","1","0.34"
"23","1","0.34"
"34","1","0.34"
"47","1","0.34"
"53","1","0.34"
"61","1","0.34"
"63","1","0.34"
"64","1","0.34"
"66","1","0.34"
"71","1","0.34"
"76","1","0.34"
"78","1","0.34"
"80","1","0.34"
"82","1","0.34"
"85","1","0.34"
"91","1","0.34"
"97","1","0.34"
"98","1","0.34"
"99","1","0.34"
