"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  185"
"response","count","percent_responded"
"Depression/mood","115","62.16"
"Pain","104","56.22"
"Anxiety/panic attacks","100","54.05"
"Sleep/insomnia","97","52.43"
"Aggression","55","29.73"
"Attention/concentration","44","23.78"
"Headache","41","22.16"
"Inflammation","32","17.3"
"Appetite/weight","30","16.22"
"Spasms","30","16.22"
"Nausea/vomiting","24","12.97"
"Other (please specify)","10","5.41"
"Mania/psychosis","7","3.78"
"Ocular pressure","6","3.24"
"Skin conditions","4","2.16"
"Drug withdrawal","2","1.08"
"Respiratory","2","1.08"
"Seizures","2","1.08"
