"q19","What percent of your monthly cannabis purchases are through regulated sources (dispensaries, caregivers, etc.)","n =  269  avg =  74.242"
"response","count","percent_responded"
"100","166","61.71"
"0","35","13.01"
"1","7","2.6"
"50","6","2.23"
"80","5","1.86"
"90","5","1.86"
"5","4","1.49"
"10","3","1.12"
"2","3","1.12"
"25","3","1.12"
"99","3","1.12"
"30","2","0.74"
"52","2","0.74"
"54","2","0.74"
"86","2","0.74"
"88","2","0.74"
"94","2","0.74"
"95","2","0.74"
"97","2","0.74"
"20","1","0.37"
"21","1","0.37"
"24","1","0.37"
"32","1","0.37"
"35","1","0.37"
"51","1","0.37"
"53","1","0.37"
"56","1","0.37"
"64","1","0.37"
"7","1","0.37"
"71","1","0.37"
"75","1","0.37"
"85","1","0.37"
