"q11","How do you prefer to use cannabis? Please select all that apply.","n =  834"
"response","count","percent_responded"
"Smoke flower","632","75.78"
"Vape cartridges","508","60.91"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","503","60.31"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","321","38.49"
"Tinctures","279","33.45"
"Vape flower","273","32.73"
"Salves/topicals","218","26.14"
"Capsules","121","14.51"
"Transdermal patches","49","5.88"
"Suppositories","21","2.52"
"Other (please specify)","19","2.28"
