"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  217"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","110","50.69"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","68","31.34"
"Anti-inflammatories","64","29.49"
"Muscle relaxants","53","24.42"
"Other (please specify)","51","23.5"
"Statins (e.g. Lipitor, Crestor)","44","20.28"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","43","19.82"
"I don’t take any prescription medications","38","17.51"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","36","16.59"
"Antihypertensives","29","13.36"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","27","12.44"
"Steroids, including steroid creams","26","11.98"
"Antimigraine","15","6.91"
"Beta Blockers","14","6.45"
"Insulin","13","5.99"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","13","5.99"
"Proton pump inhibitors","12","5.53"
"Sedatives/hypnotics","12","5.53"
"Antipsychotics (e.g. Abilify, Seroquel)","9","4.15"
"Hormone replacement therapy (HRT)","6","2.76"
"Barbiturates (e.g. Floricet)","5","2.3"
"Antiemetics","2","0.92"
