"q6","What symptoms for the primary condition do you use cannabis to treat? Please select all that apply.","n =  242"
"response","count","percent_responded"
"Pain","205","84.71"
"Sleep","179","73.97"
"Anxiety","151","62.4"
"Inflammation","147","60.74"
"Depression","107","44.21"
"Headache","88","36.36"
"Spasms","75","30.99"
"Nausea","66","27.27"
"Attention/concentration","45","18.6"
"Appetite/weight","32","13.22"
"Aggression","30","12.4"
"Other (please specify)","18","7.44"
"Skin conditions","18","7.44"
"Ocular pressure","10","4.13"
"Drug withdrawl","7","2.89"
"Respiratory","7","2.89"
"Mainia/psychosis","6","2.48"
"Seizures","6","2.48"
