"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  78"
"response","count","percent_responded"
"Money to purchase products","45","57.69"
"Access to the right products","29","37.18"
"Money required to get medical card","20","25.64"
"Stigma","18","23.08"
"Owning a firearm","16","20.51"
"Workplace testing or other policies","12","15.38"
"Place to consume cannabis","11","14.1"
"Lack of knowledge","6","7.69"
"Other (please specify)","5","6.41"
"Previous bad experience","1","1.28"
