"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  126  avg =  69.024"
"response","count","percent_responded"
"0","54","42.86"
"10","9","7.14"
"20","8","6.35"
"30","8","6.35"
"50","8","6.35"
"150","5","3.97"
"40","4","3.17"
"400","4","3.17"
"100","3","2.38"
"60","3","2.38"
"8","3","2.38"
"500","2","1.59"
"70","2","1.59"
"1000","1","0.79"
"16","1","0.79"
"200","1","0.79"
"25","1","0.79"
"28","1","0.79"
"300","1","0.79"
"35","1","0.79"
"350","1","0.79"
"44","1","0.79"
"600","1","0.79"
"75","1","0.79"
"80","1","0.79"
"900","1","0.79"
