"q13","Where are the locations of your pain (please check all that apply)","n =  52"
"response","count","percent_responded"
"Lower back","41","78.85"
"General joint pain","27","51.92"
"Knee","27","51.92"
"Leg","26","50"
"Shoulder","25","48.08"
"Upper back","25","48.08"
"Neck","24","46.15"
"Hips","23","44.23"
"Generalized muscle pain","21","40.38"
"Foot","20","38.46"
"Arm","18","34.62"
"Head/headache","17","32.69"
"Wrist","16","30.77"
"Buttocks","15","28.85"
"Hand","14","26.92"
"Full body","13","25"
"Abdomen","12","23.08"
"Stomach","9","17.31"
"Chest","6","11.54"
"Mouth/dental pain","6","11.54"
"Face","4","7.69"
"Other (please specify)","4","7.69"
"Rectum","2","3.85"
"Genitalia","1","1.92"
