"q48","What is your top preferred method (that is, favorite method) of using cannabis? (Please select one)","n =  299"
"response","count","percent_responded"
"Smoke flower","129","43.14"
"Vape cartridges","48","16.05"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","46","15.38"
"Tinctures","27","9.03"
"Vape flower","20","6.69"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","15","5.02"
"Capsules","11","3.68"
"Salves/topicals","2","0.67"
"Transdermal patches","1","0.33"
