"q67","Which VA do you go to?","n =  299"
"response","count","percent_responded"
"None","14","4.68"
"N/A","7","2.34"
"none","6","2.01"
"Togus","6","2.01"
"Worcester","6","2.01"
"Boston","5","1.67"
"n/a","5","1.67"
"Bedford ","3","1"
"Brockton MA","3","1"
"Leeds","3","1"
"Providence","3","1"
"Atlanta","2","0.67"
"Boston JP","2","0.67"
"Fitchburg ","2","0.67"
"Loma Linda ","2","0.67"
"Lynn","2","0.67"
"Manchester","2","0.67"
"Manchester, NH","2","0.67"
"Na","2","0.67"
"Newington, CT","2","0.67"
"No","2","0.67"
"Northampton ","2","0.67"
"Providence, R.I.","2","0.67"
"Raymond G Murphy","2","0.67"
"Springfield Ma","2","0.67"
"Washington","2","0.67"
"Worcester, MA","2","0.67"
" Brockton Massachusetts","1","0.33"
"Aht aht ","1","0.33"
"Albany, NY","1","0.33"
"Albuquerque ","1","0.33"
"All mass clinics","1","0.33"
"American Lake","1","0.33"
"Anne Arbor","1","0.33"
"Asheville, NC","1","0.33"
"Baltimore ","1","0.33"
"Baltimore VA Medical Center","1","0.33"
"Baton Rouge","1","0.33"
"Bay Pines","1","0.33"
"bedford","1","0.33"
"Bedford","1","0.33"
"Bedford VA Hospital ","1","0.33"
"Bedford, ma","1","0.33"
"Bedford, MA","1","0.33"
"Boston & Worcester","1","0.33"
"Boston (JP/West Roxbury)","1","0.33"
"boston campus","1","0.33"
"boston ma","1","0.33"
"Brockton","1","0.33"
"Brockton ","1","0.33"
"Brockton, J.P. , W. Roxbury","1","0.33"
"Brockton, JP , west roxbury","1","0.33"
"Brockton. Massachusetts","1","0.33"
"Brooksville","1","0.33"
"Campbell county  va","1","0.33"
"Captain James A. Federal Health Care Center, North Chicago VA, IL","1","0.33"
"CBOC Yuma AZ","1","0.33"
"Central Western MA","1","0.33"
"Chalmers P. Wilie Ambulatory Care Center","1","0.33"
"Charlie Norwood va","1","0.33"
"Cheyenne and Denver","1","0.33"
"Cincinnati VA","1","0.33"
"Cleveland","1","0.33"
"Colorado VA","1","0.33"
"columbia,sc","1","0.33"
"Conroe TX","1","0.33"
"Dayton VAMC","1","0.33"
"DC VAMC","1","0.33"
"Denver ","1","0.33"
"Denver & Golden","1","0.33"
"do not go to va","1","0.33"
"Don’t ","1","0.33"
"Don’t use va","1","0.33"
"Dorn VA - Columbia, SC","1","0.33"
"Dorn VA in Columbia, SC","1","0.33"
"Downtown Los Angeles ","1","0.33"
"Edith Nourse Hospital, Bedford, MA","1","0.33"
"El Paso","1","0.33"
"Fayetteville AR","1","0.33"
"Fayetteville,Ar","1","0.33"
"Fitchburg","1","0.33"
"Florence,MA","1","0.33"
"Fort Myers Florida","1","0.33"
"Fredericksburg ","1","0.33"
"Fresno.. which I will never return to adter they broke my rt collar bone 2 years ago and have covered it up since","1","0.33"
"Hammond, La.","1","0.33"
"Harry S Truman VAMC Columbia, MO","1","0.33"
"Heavy","1","0.33"
"Hershell Woody. Huntington, va","1","0.33"
"Hilo Hawaii ","1","0.33"
"hospital","1","0.33"
"Houston ","1","0.33"
"HOUSTON ","1","0.33"
"Huntington WV ","1","0.33"
"Hyannis","1","0.33"
"Hyannis CBOC","1","0.33"
"I avoid the VA. ","1","0.33"
"I don't use the VA","1","0.33"
"I don't. ","1","0.33"
"I don’t ","1","0.33"
"I don’t go to the va anymore","1","0.33"
