"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  174  avg =  20.425"
"response","count","percent_responded"
"0","61","35.06"
"50","9","5.17"
"3","7","4.02"
"100","5","2.87"
"16","5","2.87"
"8","5","2.87"
"2","4","2.3"
"26","4","2.3"
"4","4","2.3"
"51","4","2.3"
"1","3","1.72"
"17","3","1.72"
"20","3","1.72"
"48","3","1.72"
"6","3","1.72"
"10","2","1.15"
"13","2","1.15"
"14","2","1.15"
"24","2","1.15"
"27","2","1.15"
"29","2","1.15"
"30","2","1.15"
"33","2","1.15"
"36","2","1.15"
"38","2","1.15"
"42","2","1.15"
"47","2","1.15"
"49","2","1.15"
"52","2","1.15"
"64","2","1.15"
"11","1","0.57"
"15","1","0.57"
"19","1","0.57"
"21","1","0.57"
"22","1","0.57"
"23","1","0.57"
"25","1","0.57"
"35","1","0.57"
"40","1","0.57"
"41","1","0.57"
"43","1","0.57"
"44","1","0.57"
"45","1","0.57"
"46","1","0.57"
"53","1","0.57"
"54","1","0.57"
"61","1","0.57"
"66","1","0.57"
"69","1","0.57"
"7","1","0.57"
"99","1","0.57"
